queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_special_char_count,TXT_text_density,TXT_has_question_mark,LING_query_type,LING_tense,LING_has_negation,LING_has_conditional,LING_modality_type,LING_clause_complexity,LING_verb_count,LING_noun_count,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_person_count,SEM_entity_time_count,SEM_entity_location_count,SEM_entity_media_count,SEM_entity_finance_count,SEM_entity_health_count,SEM_entity_other_count,SEM_entity_distinct_count,SEM_abstractness,SEM_specificity,SEM_ambiguity,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_multimodal_level,TASK_external_dependency,TASK_expected_result_count,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_realtime_need,TEMP_location_required,INTENT_urgency_level,INTENT_consequence_severity,INTENT_priority,INTENT_emotional_tone,INTENT_satisfaction_criticality,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_join_operations,COMP_reasoning_depth
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523,34.0,30.0,8.0,3.75,1.0,1.0,0.0,0.88,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,3.0,0.33,media,entertainment,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,2.0,1.0,1.0,time_range,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2,2.0,0.8,2.0,0.9,0.8,3.0,3.0,0.0,3.0
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902,34.0,30.0,8.0,3.75,1.0,1.0,0.0,0.88,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,3.0,0.33,media,entertainment,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,2.0,1.0,1.0,time_range,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2,2.0,0.8,2.0,0.9,0.8,3.0,3.0,0.0,3.0
지민이 결혼식 일정 알려줘,11.6698,14.0,12.0,3.0,4.0,1.0,0.0,0.0,0.86,0.0,lookup,future,0.0,0.0,declarative,simple,1.0,2.0,0.5,schedule,personal,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.4,0.6,0.2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,none,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2,1.0,0.6,1.0,0.8,0.6,1.0,1.0,0.0,1.0
지민이 졸업식 일정 알려줘,15.3752,14.0,12.0,3.0,4.0,1.0,0.0,0.0,0.86,0.0,lookup,future,0.0,0.0,declarative,simple,1.0,2.0,0.5,schedule,personal,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.4,0.6,0.2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,none,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2,1.0,0.6,1.0,0.8,0.6,1.0,1.0,0.0,1.0
지민이 돌잔치 일정 알려줘,15.7295,14.0,12.0,3.0,4.0,1.0,0.0,0.0,0.86,0.0,lookup,future,0.0,0.0,declarative,simple,1.0,2.0,0.5,schedule,personal,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.4,0.6,0.2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,none,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2,1.0,0.6,1.0,0.8,0.6,1.0,1.0,0.0,1.0
지민이 생일 알려줘,12.1895,9.0,7.0,2.0,3.5,1.0,0.0,0.0,0.78,0.0,lookup,future,0.0,0.0,declarative,simple,1.0,1.0,1.0,schedule,personal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.6,0.2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,none,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2,1.0,0.6,0.0,0.8,0.6,1.0,1.0,0.0,1.0
사려고 찍어둔 와인 사진 다 보여줘,26.8335,19.0,16.0,5.0,3.2,1.0,0.0,0.0,0.84,0.0,lookup,future,0.0,0.0,declarative,simple,1.0,2.0,0.5,personal,shopping,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,3.0,none,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.5,1.0,0.7,0.6,2.0,1.0,0.0,1.0
사려고 찍어둔 신발 사진 다 보여줘,24.4891,20.0,17.0,5.0,3.4,1.0,0.0,0.0,0.85,0.0,lookup,future,0.0,0.0,declarative,simple,1.0,2.0,0.5,personal,shopping,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,3.0,none,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.5,1.0,0.7,0.6,2.0,1.0,0.0,1.0
사려고 찍어둔 옷 사진 다 보여줘,31.3977,18.0,15.0,5.0,3.0,1.0,0.0,0.0,0.83,0.0,lookup,future,0.0,0.0,declarative,simple,1.0,2.0,0.5,personal,shopping,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,3.0,none,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.5,1.0,0.7,0.6,2.0,1.0,0.0,1.0
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091,22.0,19.0,5.0,3.8,1.0,0.0,0.0,0.86,0.0,lookup,future,0.0,0.0,declarative,simple,1.0,2.0,0.5,personal,shopping,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,3.0,none,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.5,1.0,0.7,0.6,2.0,1.0,0.0,1.0
지난주 작성한 강의 필기 찾아줘,26.106,18.0,15.0,4.0,3.75,1.0,0.0,0.0,0.83,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,2.0,0.5,productivity,education,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.6,0.2,2.0,1.0,0.0,0.0,1.0,1.0,1.0,time_range,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1,2.0,0.6,1.0,0.8,0.7,2.0,2.0,0.0,2.0
지난주 작성한 노트 찾아줘,24.2368,15.0,12.0,4.0,3.0,1.0,0.0,0.0,0.8,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,1.0,1.0,productivity,education,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.6,0.2,2.0,1.0,0.0,0.0,1.0,1.0,1.0,time_range,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1,2.0,0.6,1.0,0.8,0.7,2.0,2.0,0.0,2.0
지난 주에 찍어둔 강의 영상 찾아줘,20.803,20.0,17.0,5.0,3.4,1.0,0.0,0.0,0.85,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,2.0,0.5,media,education,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,3.0,time_range,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1,2.0,0.6,2.0,0.8,0.7,2.0,2.0,0.0,2.0
지난주 작성한 메모 찾아줘,11.5135,14.0,11.0,4.0,2.75,1.0,0.0,0.0,0.79,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,1.0,1.0,productivity,personal,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.6,0.2,2.0,1.0,0.0,0.0,1.0,1.0,1.0,time_range,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1,2.0,0.6,1.0,0.8,0.7,2.0,2.0,0.0,2.0
지난번 여행에서 산책할 때 찍은 사진 보여줘,18.496,24.0,20.0,6.0,3.33,1.0,0.0,0.0,0.83,0.0,lookup,past,0.0,0.0,declarative,complex,1.0,2.0,0.5,personal,travel,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.4,0.6,0.2,2.0,1.0,0.0,0.0,2.0,1.0,5.0,time_range,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.5,1.0,0.7,0.6,3.0,2.0,0.0,2.0
지난번 여행에서 먹었던 음식 사진 보여줘,20.4941,24.0,20.0,6.0,3.33,1.0,0.0,0.0,0.83,0.0,lookup,past,0.0,0.0,declarative,complex,1.0,2.0,0.5,personal,travel,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.4,0.6,0.2,2.0,1.0,0.0,0.0,2.0,1.0,5.0,time_range,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.5,1.0,0.7,0.6,3.0,2.0,0.0,2.0
지난번 여행에서 구경한 풍경 사진 보여줘,15.6216,23.0,19.0,6.0,3.17,1.0,0.0,0.0,0.83,0.0,lookup,past,0.0,0.0,declarative,complex,1.0,2.0,0.5,personal,travel,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.4,0.6,0.2,2.0,1.0,0.0,0.0,2.0,1.0,5.0,time_range,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.5,1.0,0.7,0.6,3.0,2.0,0.0,2.0
지난번 여행에서 체험한 액티비티 사진 보여줘,17.3384,25.0,21.0,6.0,3.5,1.0,0.0,0.0,0.84,0.0,lookup,past,0.0,0.0,declarative,complex,1.0,2.0,0.5,personal,travel,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.4,0.6,0.2,2.0,1.0,0.0,0.0,2.0,1.0,5.0,time_range,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.5,1.0,0.7,0.6,3.0,2.0,0.0,2.0
내 여권 사진 찾아줘,18.3003,11.0,9.0,3.0,3.0,1.0,0.0,0.0,0.82,0.0,lookup,none,0.0,0.0,declarative,simple,1.0,1.0,1.0,personal,travel,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.4,0.6,0.2,2.0,1.0,0.0,0.0,1.0,1.0,1.0,none,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2,2.0,0.7,0.0,0.9,0.7,2.0,1.0,0.0,1.0
주말에 찍은 반려동물 사진 찾아줘,13.2361,18.0,15.0,5.0,3.0,1.0,0.0,0.0,0.83,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,2.0,0.5,personal,animals,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,5.0,time_range,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.5,1.0,0.7,0.6,3.0,2.0,0.0,2.0
가족이랑 찍은 사진 찾아줘,26.9289,14.0,11.0,4.0,2.75,1.0,0.0,0.0,0.79,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,1.0,1.0,personal,social,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,5.0,none,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.5,0.0,0.7,0.6,3.0,2.0,0.0,2.0
친구들과 함께 찍은 사진 찾아줘,26.0997,17.0,14.0,5.0,2.8,1.0,0.0,0.0,0.82,0.0,lookup,past,0.0,0.0,declarative,simple,1.0,1.0,1.0,personal,social,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.7,0.1,2.0,1.0,0.0,0.0,2.0,1.0,5.0,none,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.5,0.0,0.7,0.6,3.0,2.0,0.0,2.0
봄에 갔던 골프장 어디였지?,20.9377,17.0,14.0,5.0,2.8,1.0,1.0,0.0,0.82,1.0,lookup,past,0.0,0.0,interrogative,simple,1.0,2.0,0.5,travel,sports,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.7,1.0,0.9,0.8,2.0,2.0,0.0,2.0
여름에 갔던 산 어디였지?,13.8776,14.0,11.0,4.0,2.75,1.0,1.0,0.0,0.79,1.0,lookup,past,0.0,0.0,interrogative,simple,1.0,1.0,1.0,travel,leisure,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.7,1.0,0.9,0.8,2.0,2.0,0.0,2.0
주말에 갔던 라이딩 코스 어디였지?,18.0121,21.0,18.0,5.0,3.6,1.0,1.0,0.0,0.86,1.0,lookup,past,0.0,0.0,interrogative,simple,1.0,2.0,0.5,travel,sports,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.7,1.0,0.9,0.8,2.0,2.0,0.0,2.0
가을에 갔던 공원 어디였지?,25.1263,17.0,14.0,5.0,2.8,1.0,1.0,0.0,0.82,1.0,lookup,past,0.0,0.0,interrogative,simple,1.0,1.0,1.0,travel,leisure,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.7,1.0,0.9,0.8,2.0,2.0,0.0,2.0
4월 1일에 결제했던 5만원 어디에 쓴 거지?,23.3784,23.0,19.0,7.0,2.71,1.0,1.0,0.0,0.83,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,2.0,0.5,finance,personal,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.4,0.6,0.3,3.0,1.0,1.0,0.0,0.0,1.0,1.0,specific_date,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2,2.0,0.8,2.0,0.9,0.8,2.0,3.0,0.0,3.0
4월 1일에 결제했던 5만원 어디서 쓴 거지?,18.792,23.0,19.0,7.0,2.71,1.0,1.0,0.0,0.83,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,2.0,0.5,finance,personal,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.4,0.6,0.3,3.0,1.0,1.0,0.0,0.0,1.0,1.0,specific_date,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2,2.0,0.8,2.0,0.9,0.8,2.0,3.0,0.0,3.0
4월 1일에 결제했던 5만원 무슨 카드로 쓴 거지?,17.2943,26.0,22.0,8.0,2.75,1.0,1.0,0.0,0.85,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,3.0,0.33,finance,personal,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.4,0.6,0.3,3.0,1.0,1.0,0.0,0.0,1.0,1.0,specific_date,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2,2.0,0.8,2.0,0.9,0.8,2.0,3.0,0.0,3.0
4월 1일에 결제했던 5만원 언제 쓴 거지?,18.6919,22.0,18.0,7.0,2.57,1.0,1.0,0.0,0.82,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,2.0,0.5,finance,personal,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.4,0.6,0.3,3.0,1.0,1.0,0.0,0.0,1.0,1.0,specific_date,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2,2.0,0.8,2.0,0.9,0.8,2.0,3.0,0.0,3.0
어제 반복해서 들은 노래의 제목과 가수명이 뭐지?,15.7563,26.0,22.0,8.0,2.75,1.0,1.0,0.0,0.85,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,3.0,0.33,media,music,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,specific_date,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2,2.0,0.8,2.0,0.9,0.8,3.0,3.0,0.0,3.0
어제 점심 때 들은 노래의 제목과 가수명이 뭐지?,14.6793,28.0,24.0,9.0,2.67,1.0,1.0,0.0,0.86,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,3.0,0.33,media,music,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,specific_date,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2,2.0,0.8,2.0,0.9,0.8,3.0,3.0,0.0,3.0
어제 저녁에 들은 노래의 제목과 가수명이 뭐지?,14.0305,28.0,24.0,9.0,2.67,1.0,1.0,0.0,0.86,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,3.0,0.33,media,music,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,specific_date,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2,2.0,0.8,2.0,0.9,0.8,3.0,3.0,0.0,3.0
어제 운동하면서 들은 노래의 제목과 가수명이 뭐지?,14.3753,30.0,26.0,10.0,2.6,1.0,1.0,0.0,0.87,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,3.0,0.33,media,music,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,specific_date,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2,2.0,0.8,2.0,0.9,0.8,3.0,3.0,0.0,3.0
내일 지원이랑 어디서 만나기로 했지?,15.6107,20.0,17.0,6.0,2.83,1.0,1.0,0.0,0.85,1.0,lookup,future,0.0,1.0,interrogative,complex,1.0,2.0,0.5,schedule,social,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,specific_date,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2,2.0,0.8,1.0,0.9,0.8,2.0,2.0,0.0,2.0
내일 지원이랑 언제 만나기로 했지?,11.9332,19.0,16.0,6.0,2.67,1.0,1.0,0.0,0.84,1.0,lookup,future,0.0,1.0,interrogative,complex,1.0,2.0,0.5,schedule,social,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,specific_date,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2,2.0,0.8,1.0,0.9,0.8,2.0,2.0,0.0,2.0
내일 지원이랑 몇 시에 만나기로 했지?,16.2685,22.0,19.0,7.0,2.71,1.0,1.0,0.0,0.86,1.0,lookup,future,0.0,1.0,interrogative,complex,1.0,2.0,0.5,schedule,social,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,specific_date,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2,2.0,0.8,1.0,0.9,0.8,2.0,2.0,0.0,2.0
내일 지원이랑 무엇 때문에 만나기로 했지?,11.54,23.0,20.0,7.0,2.86,1.0,1.0,0.0,0.87,1.0,lookup,future,0.0,1.0,interrogative,complex,1.0,2.0,0.5,schedule,social,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,specific_date,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2,2.0,0.8,1.0,0.9,0.8,2.0,2.0,0.0,2.0
작년 겨울에 구매한 패딩을 어느 사이트에서 샀었지?,25.1216,27.0,23.0,8.0,2.88,1.0,1.0,0.0,0.85,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,3.0,0.33,shopping,personal,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.8,2.0,0.9,0.8,2.0,2.0,0.0,2.0
작년 겨울에 구매한 패딩을 어느 앱에서 샀었지?,23.5528,26.0,22.0,8.0,2.75,1.0,1.0,0.0,0.85,1.0,lookup,past,0.0,0.0,interrogative,complex,1.0,3.0,0.33,shopping,personal,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.4,0.6,0.3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.8,2.0,0.9,0.8,2.0,2.0,0.0,2.0
작년 겨울에 구매한 패딩을 어느 오프라인 매장에서 샀었지?,23.6779,32.0,28.0,8.0,3.5,1.0,1.0,0.0,0.88,1.0,information_past,past,0.0,0.0,none,simple,1.0,3.0,0.33,personal,shopping,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.4,0.8,0.2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.7,3.0,0.8,0.8,2.0,2.0,0.0,2.0
작년 겨울에 구매한 패딩을 어느 백화점에서 샀었지?,19.8546,30.0,26.0,8.0,3.25,1.0,1.0,0.0,0.87,1.0,information_past,past,0.0,0.0,none,simple,1.0,3.0,0.33,personal,shopping,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.4,0.8,0.2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.7,3.0,0.8,0.8,2.0,2.0,0.0,2.0
