queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_has_question_mark,TXT_special_char_count,LING_query_type,LING_has_past_reference,LING_has_future_reference,LING_has_modal,LING_has_negation,LING_clause_complexity,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_person_count,SEM_entity_time_count,SEM_entity_location_count,SEM_entity_finance_flag,SEM_abstractness_score,SEM_specificity_score,SEM_ambiguity_score,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_modality_types,TASK_external_dependency,TASK_expected_result_count,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_realtime_need,TEMP_location_context_need,INTENT_urgency_level,INTENT_consequence_severity,INTENT_priority_indicator,INTENT_emotional_tone,INTENT_satisfaction_criticality,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_join_operations,COMP_reasoning_depth,TXT_question_mark,LING_tense,LING_has_conditional,SEM_entity_person,SEM_entity_location,SEM_entity_time,SEM_entity_org,SEM_entity_count,SEM_abstractness,SEM_specificity,SEM_ambiguity,TEMP_location_context,INTENT_priority,LING_has_modality,SEM_entity_location_org,TASK_needs_comparison,TXT_text_density,SEM_entity_media_count,SEM_entity_location_flag,SEM_entity_time_flag,TXT_contains_parentheses,LING_clause_count,LING_verb_count,LING_noun_count,SEM_has_person_entity,SEM_has_time_entity,SEM_has_health_entity,TASK_personalization_level,TEMP_time_range_specificity
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523,34,30,8,3.75,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,3.0,0.9,media,other,1.0,1.0,0.0,0.0,2.0,4.0,2.0,2,1,1,0,video,1,1,relative,2.0,2,0,0.0,2,2,2.0,nostalgic,2.0,0.5,4.0,4.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902,34,30,8,3.75,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,3.0,0.9,media,other,1.0,1.0,0.0,0.0,2.0,4.0,2.0,2,1,1,0,video,1,1,relative,2.0,2,0,0.0,2,2,2.0,nostalgic,2.0,0.5,4.0,4.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지민이 결혼식 일정 알려줘,11.6698,14,12,4,3.0,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,1.0,0.8,schedule,events,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1,0,0,0,text_only,1,1,none,1.0,1,0,0.0,4,4,3.0,planning,3.0,0.75,3.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지민이 졸업식 일정 알려줘,15.3752,14,12,4,3.0,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,1.0,0.8,schedule,events,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1,0,0,0,text_only,1,1,none,1.0,1,0,0.0,3,3,2.0,planning,3.0,0.75,3.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지민이 돌잔치 일정 알려줘,15.7295,14,12,4,3.0,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,1.0,0.8,schedule,events,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1,0,0,0,text_only,1,1,none,1.0,1,0,0.0,3,3,2.0,planning,3.0,0.75,3.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지민이 생일 알려줘,12.1895,10,8,3,2.67,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,1.0,0.8,schedule,events,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1,0,0,0,text_only,1,1,none,1.0,1,0,0.0,2,2,1.0,planning,2.0,0.67,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사려고 찍어둔 와인 사진 다 보여줘,26.8335,21,18,6,3.0,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,2.0,0.8,shopping,other,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2,1,1,0,photo,1,3,none,1.0,1,0,0.0,2,2,2.0,neutral,2.0,0.5,3.0,4.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사려고 찍어둔 신발 사진 다 보여줘,24.4891,21,18,6,3.0,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,2.0,0.8,shopping,other,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2,1,1,0,photo,1,3,none,1.0,1,0,0.0,2,2,2.0,neutral,2.0,0.5,3.0,4.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사려고 찍어둔 옷 사진 다 보여줘,31.3977,19,16,6,2.67,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,2.0,0.8,shopping,other,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2,1,1,0,photo,1,3,none,1.0,1,0,0.0,2,2,2.0,neutral,2.0,0.5,3.0,4.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091,23,20,6,3.33,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,2.0,0.8,shopping,other,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2,1,1,0,photo,1,3,none,1.0,1,0,0.0,2,2,2.0,neutral,2.0,0.5,3.0,4.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난주 작성한 강의 필기 찾아줘,26.106,18,15,5,3.0,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.8,documents,education,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2,1,0,0,text_only,1,1,relative,2.0,2,0,0.0,2,2,2.0,neutral,2.0,0.6,3.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난주 작성한 노트 찾아줘,24.2368,16,13,4,3.25,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.8,documents,education,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2,1,0,0,text_only,1,1,relative,2.0,2,0,0.0,2,2,2.0,neutral,2.0,0.75,3.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난 주에 찍어둔 강의 영상 찾아줘,20.803,21,18,6,3.0,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.8,education,other,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2,1,0,0,video,1,2,relative,2.0,2,0,0.0,2,2,2.0,neutral,2.0,0.67,3.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난주 작성한 메모 찾아줘,11.5135,16,13,4,3.25,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,2.0,0.8,documents,other,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2,1,0,0,text_only,1,1,relative,2.0,2,0,0.0,1,1,1.0,neutral,1.0,0.5,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난번 여행에서 산책할 때 찍은 사진 보여줘,18.496,26,22,7,3.14,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,3.0,0.8,personal_photos,travel,0.0,1.0,1.0,0.0,1.0,4.0,1.0,2,1,0,0,photo,1,2,relative,1.0,1,0,1.0,1,1,1.0,nostalgic,1.0,0.43,3.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난번 여행에서 먹었던 음식 사진 보여줘,20.4941,24,20,7,2.86,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,3.0,0.8,personal_photos,travel,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2,1,0,0,photo,1,2,relative,1.0,1,0,0.0,1,1,1.0,nostalgic,1.0,0.43,3.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난번 여행에서 구경한 풍경 사진 보여줘,15.6216,24,20,7,2.86,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,3.0,0.8,personal_photos,travel,0.0,1.0,1.0,0.0,1.0,4.0,1.0,2,1,0,0,photo,1,2,relative,1.0,1,0,1.0,1,1,1.0,nostalgic,1.0,0.43,3.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지난번 여행에서 체험한 액티비티 사진 보여줘,17.3384,26,22,7,3.14,1.0,0,0.0,0,imperative,1.0,0.0,0.0,0,3.0,0.8,personal_photos,travel,0.0,1.0,1.0,0.0,1.0,4.0,1.0,2,1,0,0,photo,1,2,relative,1.0,1,0,1.0,1,1,1.0,nostalgic,1.0,0.43,3.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내 여권 사진 찾아줘,18.3003,11,9,4,2.25,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,1.0,0.8,documents,travel,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1,0,0,0,photo,2,1,none,1.0,1,0,0.0,4,5,3.0,anxious_like,3.0,0.75,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주말에 찍은 반려동물 사진 찾아줘,13.2361,20,17,6,2.83,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,2.0,0.8,personal_photos,pet,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2,1,0,0,photo,1,2,relative,2.0,2,0,0.0,1,1,1.0,nostalgic,1.0,0.5,3.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가족이랑 찍은 사진 찾아줘,26.9289,16,13,5,2.6,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,2.0,0.8,personal_photos,family,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2,1,0,0,photo,1,2,none,1.0,1,0,0.0,1,1,1.0,nostalgic,1.0,0.4,2.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
친구들과 함께 찍은 사진 찾아줘,26.0997,18,15,5,3.0,1.0,0,0.0,0,imperative,0.0,0.0,0.0,0,2.0,0.8,personal_photos,friends,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2,1,0,0,photo,1,2,none,1.0,1,0,0.0,1,1,1.0,nostalgic,1.0,0.4,2.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봄에 갔던 골프장 어디였지?,20.9377,17,14,5,2.8,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,2.0,0.9,location,sports,0.0,1.0,1.0,0.0,2.0,4.0,2.0,2,1,0,0,text_only,1,1,relative,1.0,1,0,1.0,2,2,2.0,nostalgic,2.0,0.6,3.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여름에 갔던 산 어디였지?,13.8776,15,12,5,2.4,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,2.0,0.9,location,travel,0.0,1.0,1.0,0.0,2.0,4.0,2.0,2,1,0,0,text_only,1,1,relative,1.0,1,0,1.0,2,2,2.0,nostalgic,2.0,0.6,3.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주말에 갔던 라이딩 코스 어디였지?,18.0121,20,17,6,2.83,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,2.0,0.9,location,sports,0.0,1.0,1.0,0.0,2.0,4.0,2.0,2,1,0,0,text_only,1,1,relative,2.0,2,0,1.0,2,2,2.0,nostalgic,2.0,0.5,3.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가을에 갔던 공원 어디였지?,25.1263,17,14,5,2.8,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,2.0,0.9,location,travel,0.0,1.0,1.0,0.0,2.0,4.0,2.0,2,1,0,0,text_only,1,1,relative,1.0,1,0,1.0,2,2,2.0,nostalgic,2.0,0.6,3.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4월 1일에 결제했던 5만원 어디에 쓴 거지?,23.3784,26,22,8,2.75,1.0,1,1.0,1,interrogative,1.0,0.0,1.0,0,3.0,0.9,finance,other,0.0,1.0,0.0,1.0,1.0,5.0,1.0,2,1,1,0,text_only,2,1,absolute,3.0,2,0,0.0,4,5,3.0,anxious_like,3.0,0.5,4.0,4.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4월 1일에 결제했던 5만원 어디서 쓴 거지?,18.792,26,22,8,2.75,1.0,1,1.0,1,interrogative,1.0,0.0,1.0,0,3.0,0.9,finance,location,0.0,1.0,0.0,1.0,1.0,5.0,1.0,2,1,1,0,text_only,2,1,absolute,3.0,2,0,0.0,4,5,3.0,anxious_like,3.0,0.5,4.0,4.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4월 1일에 결제했던 5만원 무슨 카드로 쓴 거지?,17.2943,29,25,9,2.78,1.0,1,1.0,1,interrogative,1.0,0.0,1.0,0,3.0,0.9,finance,other,0.0,1.0,0.0,1.0,1.0,5.0,1.0,2,1,1,0,text_only,2,1,absolute,3.0,2,0,0.0,4,5,3.0,anxious_like,3.0,0.44,4.0,3.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4월 1일에 결제했던 5만원 언제 쓴 거지?,18.6919,26,22,8,2.75,1.0,1,1.0,1,interrogative,1.0,0.0,1.0,0,3.0,0.9,finance,other,0.0,1.0,0.0,1.0,1.0,5.0,1.0,2,1,1,0,text_only,2,1,absolute,3.0,2,0,0.0,4,5,3.0,anxious_like,3.0,0.5,4.0,3.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어제 반복해서 들은 노래의 제목과 가수명이 뭐지?,15.7563,27,23,8,2.88,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,3.0,0.9,music,other,0.0,1.0,0.0,0.0,1.0,5.0,2.0,2,1,1,1,audio,2,1,relative,2.0,2,0,0.0,3,3,2.0,neutral,2.0,0.5,4.0,3.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어제 점심 때 들은 노래의 제목과 가수명이 뭐지?,14.6793,28,24,9,2.67,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,3.0,0.9,music,other,0.0,1.0,0.0,0.0,1.0,5.0,2.0,2,1,1,1,audio,2,1,relative,2.0,2,0,0.0,3,3,2.0,neutral,2.0,0.44,4.0,3.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어제 저녁에 들은 노래의 제목과 가수명이 뭐지?,14.0305,27,23,8,2.88,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,3.0,0.9,music,other,0.0,1.0,0.0,0.0,1.0,5.0,2.0,2,1,1,1,audio,2,1,relative,2.0,2,0,0.0,3,3,2.0,neutral,2.0,0.5,4.0,3.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어제 운동하면서 들은 노래의 제목과 가수명이 뭐지?,14.3753,30,26,9,2.89,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,3.0,0.9,music,sports,0.0,1.0,0.0,0.0,1.0,5.0,2.0,2,1,1,1,audio,2,1,relative,2.0,2,0,0.0,3,3,2.0,neutral,2.0,0.44,4.0,3.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내일 지원이랑 어디서 만나기로 했지?,15.6107,22,19,7,2.71,1.0,1,1.0,0,interrogative,0.0,1.0,1.0,0,2.0,0.9,schedule,location,1.0,1.0,1.0,0.0,1.0,4.0,2.0,2,1,0,0,text_only,1,1,relative,3.0,3,0,1.0,4,4,3.0,planning,3.0,0.57,4.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내일 지원이랑 언제 만나기로 했지?,11.9332,22,19,7,2.71,1.0,1,1.0,0,interrogative,0.0,1.0,1.0,0,2.0,0.9,schedule,other,1.0,1.0,0.0,0.0,1.0,4.0,2.0,2,1,0,0,text_only,1,1,relative,3.0,3,0,0.0,4,4,3.0,planning,3.0,0.57,4.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내일 지원이랑 몇 시에 만나기로 했지?,16.2685,24,21,8,2.63,1.0,1,1.0,0,interrogative,0.0,1.0,1.0,0,2.0,0.9,schedule,other,1.0,1.0,0.0,0.0,1.0,5.0,2.0,2,1,0,0,text_only,1,1,relative,3.0,3,0,0.0,4,4,3.0,planning,3.0,0.5,4.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내일 지원이랑 무엇 때문에 만나기로 했지?,11.54,26,23,8,2.88,1.0,1,1.0,0,interrogative,0.0,1.0,1.0,0,2.0,0.9,schedule,other,1.0,1.0,0.0,0.0,2.0,4.0,2.0,2,1,0,0,text_only,1,1,relative,3.0,3,0,0.0,3,3,2.0,planning,2.0,0.5,4.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
작년 겨울에 구매한 패딩을 어느 사이트에서 샀었지?,25.1216,30,26,9,2.89,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,3.0,0.9,shopping,other,0.0,1.0,0.0,0.0,2.0,4.0,2.0,2,1,0,0,text_only,1,1,relative,1.0,1,0,0.0,2,2,2.0,nostalgic,2.0,0.44,4.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
작년 겨울에 구매한 패딩을 어느 앱에서 샀었지?,23.5528,29,25,9,2.78,1.0,1,1.0,0,interrogative,1.0,0.0,1.0,0,3.0,0.9,shopping,other,0.0,1.0,0.0,0.0,2.0,4.0,2.0,2,1,0,0,text_only,1,1,relative,1.0,1,0,0.0,2,2,2.0,nostalgic,2.0,0.44,4.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
작년 겨울에 구매한 패딩을 어느 오프라인 매장에서 샀었지?,23.6779,32,29,8,3.625,1.0,1,,0,interrogative,,,0.0,0,2.0,0.8,shopping,none,,,,,,,,2,1,0,0,2,1,1,relative,2.0,1,0,,2,2,,reflective,3.0,7.0,3.0,9.0,4.0,2.0,2.0,1.0,2.0,1.0,past,0.0,0.0,1.0,1.0,0.0,2.0,3.0,8.0,3.0,1.0,2,,,,,,,,,,,,,,,,
작년 겨울에 구매한 패딩을 어느 백화점에서 샀었지?,19.8546,31,28,7,4.0,1.0,1,,0,interrogative,,,0.0,0,2.0,0.8,shopping,none,,,,,,,,2,1,0,0,2,1,1,relative,2.0,1,0,,2,2,,reflective,3.0,7.0,3.0,9.0,4.0,2.0,2.0,1.0,2.0,1.0,past,0.0,0.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,1.0,2,,,,,,,,,,,,,,,,
오늘 미팅 장소와 시간은 어디지?,14.0835,19,17,6,2.8333,1.0,1,,0,interrogative,,,0.0,0,1.0,0.7,schedule,work_study,,,,,,,,2,1,0,0,2,1,1,relative,3.0,4,1,,4,4,,neutral,4.0,8.0,3.0,9.0,2.0,2.0,1.0,1.0,,1.0,present,0.0,0.0,1.0,1.0,0.0,2.0,2.0,9.0,2.0,1.0,4,,,,,,,,,,,,,,,,
오늘 약속 장소와 시간은 어디지?,6.7843,19,17,6,2.8333,1.0,1,,0,interrogative,,,0.0,0,1.0,0.7,schedule,social,,,,,,,,2,1,0,0,2,1,1,relative,3.0,4,1,,4,4,,neutral,4.0,8.0,3.0,9.0,2.0,2.0,1.0,1.0,,1.0,present,0.0,0.0,1.0,1.0,0.0,2.0,2.0,9.0,2.0,1.0,4,,,,,,,,,,,,,,,,
오늘 세미나 장소와 시간은 어디지?,20.0484,20,18,6,3.0,1.0,1,,0,interrogative,,,0.0,0,1.0,0.7,schedule,work_study,,,,,,,,2,1,0,0,2,1,1,relative,3.0,4,1,,4,4,,neutral,4.0,8.0,3.0,9.0,2.0,2.0,1.0,1.0,,1.0,present,0.0,0.0,1.0,1.0,0.0,2.0,2.0,9.0,2.0,1.0,4,,,,,,,,,,,,,,,,
오늘 회의 장소와 시간은 어디지?,11.4985,19,17,6,2.8333,1.0,1,,0,interrogative,,,0.0,0,1.0,0.7,schedule,work_study,,,,,,,,2,1,0,0,2,1,1,relative,3.0,4,1,,4,4,,neutral,4.0,8.0,3.0,9.0,2.0,2.0,1.0,1.0,,1.0,present,0.0,0.0,1.0,1.0,0.0,2.0,2.0,9.0,2.0,1.0,4,,,,,,,,,,,,,,,,
작년 결혼기념일 때 갔던 레스토랑 어디였지?,13.2869,26,23,7,3.2857,1.0,1,,0,interrogative,,,0.0,0,2.0,0.8,food_dining,social,,,,,,,,2,1,0,0,2,1,1,relative,2.0,1,0,,2,2,,reflective,3.0,7.0,2.0,7.0,3.0,2.0,2.0,1.0,,1.0,past,0.0,0.0,1.0,1.0,0.0,2.0,2.0,8.0,2.0,1.0,2,,,,,,,,,,,,,,,,
