queries,MAL,QL_chars,QL_words,task_category,modality_type,temporal_scope_level,urgency_level,personalization_depth,requires_aggregation,requires_generation,requires_historical_search,output_cardinality_expectation,stakes_importance_level,social_context_present,device_context_implicit,comparison_task,list_ordering_required,media_transformation,calendar_or_schedule_related,finance_or_spending_related,health_fitness_related,shopping_or_commerce_related,entertainment_media_related,requires_external_like_search,multi_source_integration,contains_explicit_time_budget,time_reference_recency,explicit_counting_or_frequency,explicit_comparison_target_num,question_specificity_level,output_format_structured,output_format_media,named_person_count,contains_location_context,contains_goal_or_target,contains_discount_or_savings_focus,contains_emotional_or_preference_inference,historical_span_complexity,contains_relative_change_request,context_now_or_here,contains_family_or_important_relationship,media_volume_implied,analysis_vs_lookup_balance
지난달에 수영 몇 번이나 했지?,9.3088,12,5,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,2
지난달에 쿠팡에서 총 얼마나 썼지?,21.5989,14,5,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,2,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
지난달에 이마트에서 총 얼마나 썼지?,12.7241,15,5,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,2,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
지난달에 전통시장에서 총 얼마나 썼지?,23.353,16,5,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,2,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
지난달에 편의점에서 총 얼마나 썼지?,25.8917,15,5,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,2,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
지난달에 유튜브를 총 몇 시간 재생했지?,17.2496,16,6,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,1,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
지난달에 넷플릭스를 총 몇 시간 재생했지?,22.1453,17,6,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,1,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
지난달에 케이팝 플레이리스트를 총 몇 시간 재생했지?,26.7749,18,7,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,1,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
지난달에 팟캐스트를 총 몇 시간 재생했지?,24.7164,15,6,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,1,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
지난해에 약속이 몇 번이나 있었지?,33.8893,13,5,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,home_planning,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,1,0,0,12,0,0,0,1,2
지난해에 모임이 몇 번이나 있었지?,28.1026,12,5,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,home_planning,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,1,0,0,12,0,0,0,1,2
지난해에 회식이 몇 번이나 있었지?,20.4603,12,5,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,1,0,0,12,0,0,0,1,2
지난해에 여행이 몇 번이나 있었지?,13.163,12,5,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,3,1,1,2,0,0,0,0,1,0,0,12,0,0,0,1,2
올해 상반기에 옷을 몇 번이나 샀지?,19.9251,16,6,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,shopping_context,0,0,0,0,0,0,1,0,0,0,0,4,1,1,2,0,0,0,0,1,0,0,6,0,0,0,1,2
올해 상반기에 신발을 몇 번이나 샀지?,20.4428,17,6,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,shopping_context,0,0,0,0,0,0,1,0,0,0,0,4,1,1,2,0,0,0,0,1,0,0,6,0,0,0,1,2
올해 상반기에 생필품을 몇 번이나 샀지?,28.4905,18,6,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,shopping_context,0,0,0,0,0,0,1,0,0,0,0,4,1,1,2,0,0,0,0,1,0,0,6,0,0,0,1,2
올해 상반기에 화장품을 몇 번이나 샀지?,17.8084,18,6,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,shopping_context,0,0,0,0,0,0,1,0,0,0,0,4,1,1,2,0,0,0,0,1,0,0,6,0,0,0,1,2
지난주에 영어 회화를 몇 시간 했지?,18.2183,16,6,retrieve_personal_log,none/implicit,2,2,2,1,0,1,1,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,2
지난주에 자격증 공부를 몇 시간 했지?,18.8426,17,6,retrieve_personal_log,none/implicit,2,2,2,1,0,1,1,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,2
지난주에 독서를 몇 시간 했지?,16.7158,15,5,retrieve_personal_log,none/implicit,2,2,2,1,0,1,1,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,2
지난주에 오프라인 합주를 몇 시간 했지?,21.5635,18,6,retrieve_personal_log,none/implicit,2,2,2,1,0,1,1,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,2
올해 캠핑을 몇 번이나 갔지?,15.08,12,5,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,4,1,1,2,0,0,0,0,1,0,0,6,0,0,0,1,2
올해 나들이를 몇 번이나 갔지?,26.4506,13,5,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,4,1,1,2,0,0,0,0,1,0,0,6,0,0,0,1,2
올해 산책을 몇 번이나 갔지?,14.2559,12,5,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,entertainment_context,0,0,0,0,0,1,0,0,0,0,0,4,1,1,2,0,0,0,0,1,0,0,6,0,0,0,1,2
올해 여행을 몇 번이나 갔지?,16.9997,13,5,retrieve_personal_log,none/implicit,4,2,2,1,0,1,1,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,4,1,1,2,0,0,0,0,1,0,0,6,0,0,0,1,2
이번 달에 배달 음식을 몇 번 먹었지?,12.1014,18,7,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,1,0,home_planning,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
이번 달에 외식을 몇 번 먹었지?,25.2473,15,6,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,1,0,home_planning,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
이번 달에 카페를 몇 번 먹었지?,17.5864,13,5,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,1,0,home_planning,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
이번 달에 편의점에서 몇 번 먹었지?,20.9935,17,6,retrieve_personal_log,none/implicit,3,2,2,1,0,1,1,1,0,home_planning,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
지난달과 비교했을 때 이번 달 운동량이 얼마나 늘었지?,23.8735,30,8,compare_stats,health/fitness,3,2,2,1,0,1,1,2,0,health_fitness,1,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,1,1,0,0,1,3
지난달과 비교했을 때 이번 달 걸음 수가 얼마나 늘었지?,12.2085,32,8,compare_stats,health_fitness,3,2,2,1,0,1,1,2,0,health_fitness,1,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,1,1,0,0,1,3
지난달과 비교했을 때 이번 달 칼로리 소모가 얼마나 늘었지?,14.8955,36,8,compare_stats,health_fitness,3,2,2,1,0,1,1,2,0,health_fitness,1,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,1,1,0,0,1,3
지난달과 비교했을 때 이번 달 활동 시간이 얼마나 늘었지?,24.6488,38,8,compare_stats,health_fitness,3,2,2,1,0,1,1,2,0,health_fitness,1,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,1,1,0,0,1,3
작년과 비교했을 때 올해 카드 결제액이 얼마나 늘었지?,25.3443,39,8,compare_stats,finance/transactions,4,2,2,1,0,1,1,3,0,finance_context,1,0,0,0,1,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,12,1,0,0,1,3
작년과 비교했을 때 올해 여가 비용이 얼마나 늘었지?,20.8705,39,8,compare_stats,finance/transactions,4,2,2,1,0,1,1,2,0,finance_context,1,0,0,0,1,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,12,1,0,0,1,3
작년과 비교했을 때 올해 고정 지출이 얼마나 늘었지?,23.7459,39,8,compare_stats,finance/transactions,4,2,2,1,0,1,1,3,0,finance_context,1,0,0,0,1,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,12,1,0,0,1,3
