queries,MAL,QL_char,QL_tokens,task_family,info_source_type,requires_personal_history,requires_aggregation,requires_summarization,requires_generation,temporal_reference_type,time_urgency_level,stakes_level,modality_primary,domain_category,query_goal_specificity,expected_answer_length,interaction_pattern,has_comparative_phrase,has_temporal_diff_phrase,time_window_length,personalization_intensity,needs_location_context,needs_calendar_context,needs_communication_logs,needs_media_history,needs_financial_logs,needs_health_data,recommendation_type,requires_cross_app_integration,requires_similarity_search,requires_visual_understanding,requires_list_dedup_grouping,explicit_output_structure,urgency_phrase_present,planning_horizon,social_context_strength,contains_monetary_amount,monetary_context_type,device_context_implied,cognitive_load_estimate,novelty_seeking,habit_analysis,food_context_type,output_requires_multimedia_creation,output_requires_behavior_change_guidance,embedding_cluster_id,embedding_axis_complexity,embedding_axis_urgency
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523,31,7,retrieve_item,media_history,1,0,0,0,past_range,0,0,video,media_entertainment,2,0,one_shot_lookup,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.0
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902,30,7,retrieve_item,media_history,1,0,0,0,past_range,0,0,video,media_entertainment,2,0,one_shot_lookup,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.0
지민이 결혼식 일정 알려줘,11.6698,14,4,retrieve_item,calendar_events,1,0,0,0,no_time,1,1,text,social_relationships,2,0,one_shot_lookup,0,0,0,2,0,1,0,0,0,0,other,0,0,0,0,simple_fact,0,1,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.5,0.2
지민이 졸업식 일정 알려줘,15.3752,14,4,retrieve_item,calendar_events,1,0,0,0,no_time,1,1,text,social_relationships,2,0,one_shot_lookup,0,0,0,2,0,1,0,0,0,0,other,0,0,0,0,simple_fact,0,1,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.5,0.2
지민이 돌잔치 일정 알려줘,15.7295,14,4,retrieve_item,calendar_events,1,0,0,0,no_time,1,1,text,social_relationships,2,0,one_shot_lookup,0,0,0,2,0,1,0,0,0,0,other,0,0,0,0,simple_fact,0,1,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.5,0.2
지민이 생일 알려줘,12.1895,10,3,retrieve_item,calendar_events,1,0,0,0,no_time,1,1,text,social_relationships,2,0,one_shot_lookup,0,0,0,2,0,1,0,0,0,0,other,0,0,0,0,simple_fact,0,1,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,0.2
사려고 찍어둔 와인 사진 다 보여줘,26.8335,19,6,retrieve_item,personal_content,1,1,0,0,no_time,0,0,photo_image,shopping_retail,1,1,batch_media_ops,0,0,0,2,0,0,0,0,0,0,other,0,0,1,1,ranked_list,0,2,0,0,spend_tracking,home_desktop,2,0,0,casual_meal,0,0,personal_media_retrieval,0.8,0.0
사려고 찍어둔 신발 사진 다 보여줘,24.4891,19,6,retrieve_item,personal_content,1,1,0,0,no_time,0,1,photo_image,fashion_style,1,1,batch_media_ops,0,0,0,2,0,0,0,0,0,0,product_reco,0,1,1,1,ranked_list,0,2,0,0,deal_finding,home_desktop,2,1,0,casual_meal,0,1,content_recommendation,1.0,0.0
사려고 찍어둔 옷 사진 다 보여줘,31.3977,18,6,retrieve_item,personal_content,1,1,0,0,no_time,0,1,photo_image,fashion_style,1,1,batch_media_ops,0,0,0,2,0,0,0,0,0,0,product_reco,0,1,1,1,ranked_list,0,2,0,0,deal_finding,home_desktop,2,1,0,casual_meal,0,1,content_recommendation,1.0,0.0
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091,21,6,retrieve_item,personal_content,1,1,0,0,no_time,0,1,photo_image,shopping_retail,1,1,batch_media_ops,0,0,0,2,0,0,0,0,0,0,product_reco,0,1,1,1,ranked_list,0,2,0,0,deal_finding,home_desktop,2,1,0,casual_meal,0,1,content_recommendation,1.0,0.0
지난주 작성한 강의 필기 찾아줘,26.106,17,5,retrieve_item,personal_content,1,0,0,0,past_range,0,1,text,productivity_work,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,-0.1
지난주 작성한 노트 찾아줘,24.2368,14,4,retrieve_item,personal_content,1,0,0,0,past_range,0,1,text,productivity_work,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,-0.1
지난 주에 찍어둔 강의 영상 찾아줘,20.803,19,6,retrieve_item,personal_content,1,0,0,0,past_range,0,1,video,productivity_work,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,home_desktop,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,-0.1
지난주 작성한 메모 찾아줘,11.5135,14,4,retrieve_item,personal_content,1,0,0,0,past_range,0,1,text,productivity_work,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,0,0,0,casual_meal,0,0,personal_media_retrieval,0.4,-0.1
지난번 여행에서 산책할 때 찍은 사진 보여줘,18.496,23,7,retrieve_item,personal_content,1,1,0,0,past_specific,0,0,photo_image,travel_leisure,1,1,batch_media_ops,0,0,0,2,1,0,0,0,0,0,place_reco,0,0,1,1,ranked_list,0,0,0,0,spend_tracking,home_desktop,2,0,0,casual_meal,0,0,personal_media_retrieval,0.9,0.0
지난번 여행에서 먹었던 음식 사진 보여줘,20.4941,22,6,retrieve_item,personal_content,1,1,0,0,past_specific,0,0,photo_image,travel_leisure,1,1,batch_media_ops,0,0,0,2,1,0,0,0,0,0,place_reco,0,0,1,1,ranked_list,0,0,0,0,spend_tracking,home_desktop,2,0,0,casual_meal,0,0,personal_media_retrieval,0.9,0.0
지난번 여행에서 구경한 풍경 사진 보여줘,15.6216,22,6,retrieve_item,personal_content,1,1,0,0,past_specific,0,0,photo_image,travel_leisure,1,1,batch_media_ops,0,0,0,2,1,0,0,0,0,0,place_reco,0,0,1,1,ranked_list,0,0,0,0,spend_tracking,home_desktop,2,0,0,casual_meal,0,0,personal_media_retrieval,0.9,0.0
지난번 여행에서 체험한 액티비티 사진 보여줘,17.3384,24,6,retrieve_item,personal_content,1,1,0,0,past_specific,0,1,photo_image,travel_leisure,1,1,batch_media_ops,0,0,0,2,1,0,0,0,0,0,place_reco,0,0,1,1,ranked_list,0,0,0,0,spend_tracking,home_desktop,2,0,0,casual_meal,0,0,personal_media_retrieval,1.0,0.0
내 여권 사진 찾아줘,18.3003,11,4,retrieve_item,personal_content,1,0,0,0,no_time,0,2,photo_image,travel_leisure,2,0,one_shot_lookup,0,0,0,2,0,0,0,0,0,0,other,0,0,1,0,simple_fact,0,2,0,0,spend_tracking,neutral,1,0,0,casual_meal,0,0,personal_media_retrieval,0.6,0.0
주말에 찍은 반려동물 사진 찾아줘,13.2361,18,5,retrieve_item,personal_content,1,1,0,0,past_range,0,0,photo_image,other,1,1,batch_media_ops,0,0,0,2,0,0,0,0,0,0,other,0,0,1,1,ranked_list,0,0,0,0,spend_tracking,home_desktop,2,0,0,casual_meal,0,0,personal_media_retrieval,0.9,0.0
가족이랑 찍은 사진 찾아줘,26.9289,14,4,retrieve_item,personal_content,1,1,0,0,no_time,0,1,photo_image,social_relationships,1,1,batch_media_ops,0,0,0,2,0,0,0,0,0,0,other,0,0,1,1,ranked_list,0,0,1,0,spend_tracking,home_desktop,2,0,0,casual_meal,0,0,personal_media_retrieval,0.9,0.0
친구들과 함께 찍은 사진 찾아줘,26.0997,17,5,retrieve_item,personal_content,1,1,0,0,no_time,0,1,photo_image,social_relationships,1,1,batch_media_ops,0,0,0,2,0,0,0,0,0,0,other,0,0,1,1,ranked_list,0,0,1,0,spend_tracking,home_desktop,2,0,0,casual_meal,0,0,personal_media_retrieval,0.9,0.0
봄에 갔던 골프장 어디였지?,20.9377,15,4,retrieve_item,location_history,1,0,0,0,past_range,0,0,structured_log,travel_leisure,2,0,one_shot_lookup,0,0,2,2,1,0,0,0,0,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,-0.1
여름에 갔던 산 어디였지?,13.8776,14,4,retrieve_item,location_history,1,0,0,0,past_range,0,0,structured_log,travel_leisure,2,0,one_shot_lookup,0,0,2,2,1,0,0,0,0,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,-0.1
주말에 갔던 라이딩 코스 어디였지?,18.0121,18,5,retrieve_item,location_history,1,0,0,0,past_specific,0,0,structured_log,travel_leisure,2,0,one_shot_lookup,0,0,0,2,1,0,0,0,0,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,-0.1
가을에 갔던 공원 어디였지?,25.1263,15,4,retrieve_item,location_history,1,0,0,0,past_range,0,0,structured_log,travel_leisure,2,0,one_shot_lookup,0,0,2,2,1,0,0,0,0,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.2,-0.1
4월 1일에 결제했던 5만원 어디에 쓴 거지?,23.3784,25,7,retrieve_item,commerce_history,1,0,0,0,past_specific,0,2,structured_log,finance,2,0,one_shot_lookup,0,0,0,2,0,0,0,0,1,0,other,1,0,0,0,simple_fact,0,0,0,1,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,financial_analytics,0.6,-0.2
4월 1일에 결제했던 5만원 어디서 쓴 거지?,18.792,25,7,retrieve_item,commerce_history,1,0,0,0,past_specific,0,2,structured_log,finance,2,0,one_shot_lookup,0,0,0,2,0,0,0,0,1,0,other,1,0,0,0,simple_fact,0,0,0,1,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,financial_analytics,0.6,-0.2
4월 1일에 결제했던 5만원 무슨 카드로 쓴 거지?,17.2943,28,8,retrieve_item,commerce_history,1,0,0,0,past_specific,0,2,structured_log,finance,2,0,one_shot_lookup,0,0,0,2,0,0,0,0,1,0,other,1,0,0,0,simple_fact,0,0,0,1,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,financial_analytics,0.6,-0.2
4월 1일에 결제했던 5만원 언제 쓴 거지?,18.6919,24,7,retrieve_item,commerce_history,1,0,0,0,past_specific,0,2,structured_log,finance,2,0,one_shot_lookup,0,0,0,2,0,0,0,0,1,0,other,1,0,0,0,simple_fact,0,0,0,1,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,financial_analytics,0.6,-0.2
어제 반복해서 들은 노래의 제목과 가수명이 뭐지?,15.7563,27,7,retrieve_item,media_history,1,0,0,0,past_specific,0,0,structured_log,media_entertainment,2,0,one_shot_lookup,0,0,0,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,neutral,0,0,1,casual_meal,0,0,activity_stats,0.4,0.1
어제 점심 때 들은 노래의 제목과 가수명이 뭐지?,14.6793,27,8,retrieve_item,media_history,1,0,0,0,past_specific,0,0,structured_log,media_entertainment,2,0,one_shot_lookup,0,0,0,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,neutral,0,0,1,casual_meal,0,0,activity_stats,0.4,0.1
어제 저녁에 들은 노래의 제목과 가수명이 뭐지?,14.0305,26,7,retrieve_item,media_history,1,0,0,0,past_specific,0,0,structured_log,media_entertainment,2,0,one_shot_lookup,0,0,0,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,neutral,0,0,1,casual_meal,0,0,activity_stats,0.4,0.1
어제 운동하면서 들은 노래의 제목과 가수명이 뭐지?,14.3753,28,7,retrieve_item,media_history,1,0,0,0,past_specific,0,0,structured_log,media_entertainment,2,0,one_shot_lookup,0,0,0,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,neutral,0,0,1,casual_meal,0,0,activity_stats,0.4,0.1
내일 지원이랑 어디서 만나기로 했지?,15.6107,20,5,retrieve_item,calendar_events,1,0,0,0,future,2,1,structured_log,social_relationships,2,0,one_shot_lookup,0,0,0,2,1,1,0,0,0,0,other,1,0,0,0,simple_fact,1,1,2,0,spend_tracking,mobile_on_the_go,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.9
내일 지원이랑 언제 만나기로 했지?,11.9332,19,5,retrieve_item,calendar_events,1,0,0,0,future,2,1,structured_log,social_relationships,2,0,one_shot_lookup,0,0,0,2,0,1,0,0,0,0,other,1,0,0,0,simple_fact,1,1,2,0,spend_tracking,mobile_on_the_go,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.9
내일 지원이랑 몇 시에 만나기로 했지?,16.2685,21,6,retrieve_item,calendar_events,1,0,0,0,future,2,1,structured_log,social_relationships,2,0,one_shot_lookup,0,0,0,2,0,1,0,0,0,0,other,1,0,0,0,simple_fact,1,1,2,0,spend_tracking,mobile_on_the_go,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.9
내일 지원이랑 무엇 때문에 만나기로 했지?,11.54,23,6,retrieve_item,calendar_events,1,0,0,0,future,2,1,structured_log,social_relationships,2,0,one_shot_lookup,0,0,0,2,0,1,0,0,0,0,other,1,0,0,0,simple_fact,1,1,2,0,spend_tracking,mobile_on_the_go,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.9
작년 겨울에 구매한 패딩을 어느 사이트에서 샀었지?,25.1216,28,7,retrieve_item,commerce_history,1,0,0,0,past_range,0,1,structured_log,shopping_retail,2,0,one_shot_lookup,0,0,2,2,0,0,0,0,1,0,other,1,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,financial_analytics,0.6,-0.2
작년 겨울에 구매한 패딩을 어느 앱에서 샀었지?,23.5528,26,7,retrieve_item,commerce_history,1,0,0,0,past_range,0,1,structured_log,shopping_retail,2,0,one_shot_lookup,0,0,2,2,0,0,0,0,1,0,other,1,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,financial_analytics,0.6,-0.2
작년 겨울에 구매한 패딩을 어느 오프라인 매장에서 샀었지?,23.6779,32,8,retrieve_item,commerce_history,1,0,0,0,past_range,0,1,structured_log,shopping_retail,2,0,one_shot_lookup,0,0,2,2,1,0,0,0,1,0,other,1,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,financial_analytics,0.6,-0.2
작년 겨울에 구매한 패딩을 어느 백화점에서 샀었지?,19.8546,28,7,retrieve_item,commerce_history,1,0,0,0,past_range,0,1,structured_log,shopping_retail,2,0,one_shot_lookup,0,0,2,2,1,0,0,0,1,0,other,1,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,financial_analytics,0.6,-0.2
오늘 미팅 장소와 시간은 어디지?,14.0835,18,5,retrieve_item,calendar_events,1,0,0,0,present_now,2,1,structured_log,productivity_work,2,0,one_shot_lookup,0,0,0,2,1,1,0,0,0,0,other,1,0,0,0,simple_fact,1,1,0,0,spend_tracking,mobile_on_the_go,1,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.9
오늘 약속 장소와 시간은 어디지?,6.7843,18,5,retrieve_item,calendar_events,1,0,0,0,present_now,2,1,structured_log,productivity_work,2,0,one_shot_lookup,0,0,0,2,1,1,0,0,0,0,other,1,0,0,0,simple_fact,1,1,0,0,spend_tracking,mobile_on_the_go,1,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.9
오늘 세미나 장소와 시간은 어디지?,20.0484,19,5,retrieve_item,calendar_events,1,0,0,0,present_now,2,1,structured_log,productivity_work,2,0,one_shot_lookup,0,0,0,2,1,1,0,0,0,0,other,1,0,0,0,simple_fact,1,1,0,0,spend_tracking,mobile_on_the_go,1,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.9
오늘 회의 장소와 시간은 어디지?,11.4985,18,5,retrieve_item,calendar_events,1,0,0,0,present_now,2,1,structured_log,productivity_work,2,0,one_shot_lookup,0,0,0,2,1,1,0,0,0,0,other,1,0,0,0,simple_fact,1,1,0,0,spend_tracking,mobile_on_the_go,1,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.9
작년 결혼기념일 때 갔던 레스토랑 어디였지?,13.2869,24,6,retrieve_item,location_history,1,0,0,0,past_specific,0,1,structured_log,social_relationships,2,0,one_shot_lookup,0,0,2,2,1,1,0,0,0,0,other,1,0,0,0,simple_fact,0,0,1,0,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,personal_media_retrieval,0.5,-0.1
뉴욕 여행 때 갔던 브런치 집 어디였지?,15.9983,22,7,retrieve_item,location_history,1,0,0,0,past_specific,0,1,structured_log,travel_leisure,2,0,one_shot_lookup,0,0,0,2,1,0,0,0,0,0,place_reco,1,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,personal_media_retrieval,0.5,-0.1
부모님 생신 때 갔던 호텔 어디였지?,14.627,20,6,retrieve_item,location_history,1,0,0,0,past_specific,0,1,structured_log,social_relationships,2,0,one_shot_lookup,0,0,2,2,1,1,0,0,0,0,other,1,0,0,0,simple_fact,0,0,1,0,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,personal_media_retrieval,0.5,-0.1
친구 결혼식 때 갔던 식장 어디였지?,21.6479,20,6,retrieve_item,location_history,1,0,0,0,past_specific,0,1,structured_log,social_relationships,2,0,one_shot_lookup,0,0,2,2,1,0,0,0,0,0,other,1,0,0,0,simple_fact,0,0,1,0,spend_tracking,home_desktop,1,0,0,casual_meal,0,0,personal_media_retrieval,0.5,-0.1
성훈이랑 최근에 언제 만났더라?,14.5831,17,4,retrieve_item,personal_activity_log,1,0,0,0,past_range,0,0,structured_log,social_relationships,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,activity_stats,0.3,-0.1
성훈이랑 최근에 어디서 만났더라?,17.0392,18,4,retrieve_item,location_history,1,0,0,0,past_range,0,0,structured_log,social_relationships,2,0,one_shot_lookup,0,0,1,2,1,0,0,0,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,-0.1
성훈이랑 최근에 몇 시에 만났더라?,18.6927,19,5,retrieve_item,personal_activity_log,1,0,0,0,past_range,0,0,structured_log,social_relationships,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,activity_stats,0.3,-0.1
성훈이랑 최근에 무엇 때문에 만났더라?,22.4367,21,5,retrieve_item,personal_activity_log,1,0,0,0,past_range,0,0,structured_log,social_relationships,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,simple_fact,0,0,2,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,activity_stats,0.3,-0.1
지난달에 운동 몇 번이나 했지?,12.7229,18,5,count_stats,personal_activity_log,1,1,0,0,past_range,0,2,structured_log,health_fitness,1,0,analytic_report,0,0,1,2,0,0,0,0,0,1,other,0,0,0,0,simple_fact,0,0,0,0,comparison,home_desktop,1,0,1,casual_meal,0,0,activity_stats,0.7,-0.1
지난달에 걷기 몇 번이나 했지?,20.8216,18,5,count_stats,personal_activity_log,1,1,0,0,past_range,0,2,structured_log,health_fitness,1,0,analytic_report,0,0,1,2,0,0,0,0,0,1,other,0,0,0,0,simple_fact,0,0,0,0,comparison,home_desktop,1,0,1,casual_meal,0,0,activity_stats,0.7,-0.1
지난달에 요가 몇 번이나 했지?,15.467,18,5,count_stats,personal_activity_log,1,1,0,0,past_range,0,2,structured_log,health_fitness,1,0,analytic_report,0,0,1,2,0,0,0,0,0,1,other,0,0,0,0,simple_fact,0,0,0,0,comparison,home_desktop,1,0,1,casual_meal,0,0,activity_stats,0.7,-0.1
지난달에 수영 몇 번이나 했지?,9.3088,18,5,count_stats,personal_activity_log,1,1,0,0,past_range,0,2,structured_log,health_fitness,1,0,analytic_report,0,0,1,2,0,0,0,0,0,1,other,0,0,0,0,simple_fact,0,0,0,0,comparison,home_desktop,1,0,1,casual_meal,0,0,activity_stats,0.7,-0.1
지난달에 쿠팡에서 총 얼마나 썼지?,21.5989,19,5,count_stats,commerce_history,1,1,0,0,past_range,0,2,structured_log,finance,1,0,analytic_report,0,0,1,2,0,0,0,0,1,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,1,0,1,casual_meal,0,0,financial_analytics,0.8,-0.1
지난달에 이마트에서 총 얼마나 썼지?,12.7241,20,5,count_stats,commerce_history,1,1,0,0,past_range,0,2,structured_log,finance,1,0,analytic_report,0,0,1,2,0,0,0,0,1,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,1,0,1,casual_meal,0,0,financial_analytics,0.8,-0.1
지난달에 전통시장에서 총 얼마나 썼지?,23.353,21,5,count_stats,commerce_history,1,1,0,0,past_range,0,2,structured_log,finance,1,0,analytic_report,0,0,1,2,0,0,0,0,1,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,1,0,1,casual_meal,0,0,financial_analytics,0.8,-0.1
지난달에 편의점에서 총 얼마나 썼지?,25.8917,20,5,count_stats,commerce_history,1,1,0,0,past_range,0,2,structured_log,finance,1,0,analytic_report,0,0,1,2,0,0,0,0,1,0,other,0,0,0,0,simple_fact,0,0,0,0,spend_tracking,home_desktop,1,0,1,casual_meal,0,0,financial_analytics,0.8,-0.1
지난달에 유튜브를 총 몇 시간 재생했지?,17.2496,22,6,count_stats,media_history,1,1,0,0,past_range,0,0,structured_log,media_entertainment,1,0,analytic_report,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,0,0,comparison,home_desktop,1,0,1,casual_meal,0,0,activity_stats,0.7,-0.1
지난달에 넷플릭스를 총 몇 시간 재생했지?,22.1453,23,6,count_stats,media_history,1,1,0,0,past_range,0,0,structured_log,media_entertainment,1,0,analytic_report,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,0,0,comparison,home_desktop,1,0,1,casual_meal,0,0,activity_stats,0.7,-0.1
지난달에 케이팝 플레이리스트를 총 몇 시간 재생했지?,26.7749,29,7,count_stats,media_history,1,1,0,0,past_range,0,0,structured_log,media_entertainment,1,0,analytic_report,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,0,0,comparison,home_desktop,1,0,1,casual_meal,0,0,activity_stats,0.7,-0.1
지난달에 팟캐스트를 총 몇 시간 재생했지?,24.7164,23,6,count_stats,media_history,1,1,0,0,past_range,0,0,structured_log,media_entertainment,1,0,analytic_report,0,0,1,2,0,0,0,1,0,0,other,0,0,0,0,simple_fact,0,0,0,0,comparison,home_desktop,1,0,1,casual_meal,0,0,activity_stats,0.7,-0.1
